Date,Dow,SPX
4/5/2002,10296,1125.5
4/8/2002,10278,1127.5
4/9/2002,10226,1120.5
4/10/2002,10383,1132
4/11/2002,10170,1104
4/12/2002,10195,1112
4/15/2002,10108,1104.25
4/16/2002,10344,1129.75
4/17/2002,10220,1128
4/18/2002,10125,1123
4/19/2002,10255,1126.75
4/22/2002,10141,1108.25
4/23/2002,10100,1103.25
4/24/2002,10022,1091.75
4/25/2002,10044,1092.5
4/26/2002,9872,1072
4/29/2002,9818,1065
4/30/2002,9930,1077.25
5/1/2002,10071,1088.5
5/2/2002,10091,1084.5
5/3/2002,10004,1073
5/6/2002,9797,1051.75
5/7/2002,9840,1047.5
5/8/2002,10112,1086.5
5/9/2002,10025,1074
5/10/2002,9933,1054
5/13/2002,10106,1075.5
5/14/2002,10290,1098.5
5/15/2002,10271,1094.5
5/16/2002,10296,1099
5/17/2002,10340,1105.25
5/20/2002,10242,1093.5
5/21/2002,10122,1083
5/22/2002,10144,1085
5/23/2002,10212,1097
5/24/2002,10099,1082.5
5/28/2002,9996,1076.5
5/29/2002,9930,1067.75
5/30/2002,9922,1065.75
5/31/2002,9895,1067.5
6/3/2002,9687,1038.75
6/4/2002,9714,1041.5
6/5/2002,9806,1050.5
6/6/2002,9536,1029.5
6/7/2002,9596,1028.25
6/10/2002,9652,1032
6/11/2002,9520,1014.25
6/12/2002,9625,1020.25
6/13/2002,9504,1010.75
6/14/2002,9477,1009
6/17/2002,9680,1035.5
6/18/2002,9688,1044.25
6/19/2002,9561,1019.5
6/20/2002,9435,1007
6/21/2002,9273,991.33
6/24/2002,9305,997
6/25/2002,9108,974.5
6/26/2002,9120,974.75
6/27/2002,9276,992
6/28/2002,9235,990
7/1/2002,9101,969.5
7/2/2002,9005,947.5
7/3/2002,9042,953.25
7/5/2002,9395,991
7/8/2002,9290,978.25
7/9/2002,9091,954
7/10/2002,8797,919
7/11/2002,8800,927
7/12/2002,8640,917.25
7/15/2002,8665,920.5
7/16/2002,8462,903.25
7/17/2002,8560,905
7/18/2002,8365,875.5
7/19/2002,8000,844
7/22/2002,7806,819.75
7/23/2002,7646,796.75
7/24/2002,8185,844
7/25/2002,8193,836.75
7/26/2002,8266,853.75
7/29/2002,8665,893.75
7/30/2002,8684,905.5
7/31/2002,8705,911.5
8/1/2002,8490,884
8/2/2002,8285,865
8/5/2002,8015,834
8/6/2002,8285,861
8/7/2002,8450,876
8/8/2002,8698,905.75
8/9/2002,8733,907.75
8/12/2002,8670,902.5
8/13/2002,8480,885.25
8/14/2002,8722,918
8/15/2002,8814,930.5
8/16/2002,8782,928
8/19/2002,8964,949
8/20/2002,8890,939.75
8/21/2002,8985,952.25
8/22/2002,9048,961
8/23/2002,8870,941
8/26/2002,8910,947.5
8/27/2002,8842,936.5
8/28/2002,8693,916.5
8/29/2002,8633,916
8/30/2002,8624,916
9/3/2002,8300,877.75
9/4/2002,8394,889.75
9/5/2002,8330,883.25
9/6/2002,8440,894.5
9/9/2002,8487,900.5
9/10/2002,8620,911
9/11/2002,8546,906
9/12/2002,8371,889.25
9/13/2002,8331,891
9/16/2002,8379,893
9/17/2002,8143,872.5
9/18/2002,8089,863.75
9/19/2002,7925,841.75
9/20/2002,7945,846.24
9/23/2002,7865,834.5
9/24/2002,7678,820.75
9/25/2002,7847,841.25
9/26/2002,7952,854.5
9/27/2002,7663,825.25
9/30/2002,7570,815
10/1/2002,7972,854
10/2/2002,7765,830.5
10/3/2002,7708,820.5
10/4/2002,7550,805.75
10/7/2002,7443,788.5
10/8/2002,7510,801
10/9/2002,7280,777.75
10/10/2002,7505,802.5
10/11/2002,7862,838.5
10/14/2002,7858,841.5
10/15/2002,8252,882.75
10/16/2002,8038,862.25
10/17/2002,8255,879
10/18/2002,8295,883.25
10/21/2002,8515,898.75
10/22/2002,8445,891.5
10/23/2002,8492,898.25
10/24/2002,8275,880.5
10/25/2002,8440,898.75
10/28/2002,8378,891.75
10/29/2002,8346,881.5
10/30/2002,8410,889.75
10/31/2002,8350,885.5
11/1/2002,8490,898.5
11/4/2002,8542,907.5
11/5/2002,8648,914
11/6/2002,8767,925.75
11/7/2002,8574,902.5
11/8/2002,8495,891.5
11/11/2002,8355,877.75
11/12/2002,8397,884.75
11/13/2002,8425,885.75
11/14/2002,8520,902.5
11/15/2002,8566,909
11/18/2002,8480,900
11/19/2002,8485,898
11/20/2002,8672,918.75
11/21/2002,8859,935.5
11/22/2002,8796,928.75
11/25/2002,8827,929.75
11/26/2002,8665,911.5
11/27/2002,8927,938
11/29/2002,8870,936
12/2/2002,8870,935.25
12/3/2002,8765,923.75
12/4/2002,8743,919
12/5/2002,8640,908.5
12/6/2002,8657,913.75
12/9/2002,8453,889.5
12/10/2002,8555,902
12/11/2002,8570,902.25
12/12/2002,8541,902
12/13/2002,8416,887.5
12/16/2002,8633,910.25
12/17/2002,8535,902.75
12/18/2002,8454,892.25
12/19/2002,8375,886
12/20/2002,8512,891.11
12/23/2002,8490,897
12/24/2002,8430,891.5
12/26/2002,8435,890.75
12/27/2002,8270,871.75
12/30/2002,8307,877.5
12/31/2002,8331,879
1/2/2003,8591,907.5
1/3/2003,8604,910
1/6/2003,8737,926.5
1/7/2003,8750,923.75
1/8/2003,8583,910
1/9/2003,8741,924.75
1/10/2003,8767,926.5
1/13/2003,8777,926.5
1/14/2003,8810,929.25
1/15/2003,8731,921
1/16/2003,8700,916.5
1/17/2003,8583,903
1/21/2003,8435,888.5
1/22/2003,8300,877.5
1/23/2003,8320,883
1/24/2003,8113,860.25
1/27/2003,7983,847.25
1/28/2003,8045,854.5
1/29/2003,8074,860.75
1/30/2003,7900,840
1/31/2003,8047,854.75
2/3/2003,8077,858.5
2/4/2003,8020,849.25
2/5/2003,7980,844.5
2/6/2003,7940,840.5
2/7/2003,7853,830.5
2/10/2003,7909,836
2/11/2003,7839,829.75
2/12/2003,7735,816.75
2/13/2003,7760,819
2/14/2003,7925,837
2/18/2003,8047,851.5
2/19/2003,8013,846.75
2/20/2003,7925,838.75
2/21/2003,8000,847.25
2/24/2003,7860,832.5
2/25/2003,7920,839.75
2/26/2003,7810,827.75
2/27/2003,7892,838.2
2/28/2003,7920,841
3/3/2003,7843,835.5
3/4/2003,7712,822.25
3/5/2003,7767,829.5
3/6/2003,7675,821.75
3/7/2003,7735,828.5
3/10/2003,7560,807.75
3/11/2003,7520,800.25
3/12/2003,7561,805.75
3/13/2003,7829,833.25
3/14/2003,7876,834.25
3/17/2003,8127,862
3/18/2003,8196,867.25
3/19/2003,8267,873.5
3/20/2003,8289,875.75
3/21/2003,8480,887.16
3/24/2003,8190,863.5
3/25/2003,8242,872.25
3/26/2003,8198,868
3/27/2003,8170,867.5
3/28/2003,8120,863
3/31/2003,7940,847
4/1/2003,8040,856.75
4/2/2003,8242,877.25
4/3/2003,8198,873.25
4/4/2003,8250,878.5
4/7/2003,8254,877
4/8/2003,8282,878.25
4/9/2003,8180,866.75
4/10/2003,8204,871.75
4/11/2003,8178,868.25
4/14/2003,8342,886
4/15/2003,8400,893.75
4/16/2003,8228,878.75
4/17/2003,8310,891.25
4/21/2003,8325,893
4/22/2003,8461,909.5
4/23/2003,8491,917.5
4/24/2003,8409,909.75
4/25/2003,8286,898.5
4/28/2003,8442,913.5
4/29/2003,8477,916
4/30/2003,8453,916
5/1/2003,8430,915
5/2/2003,8545,927.5
5/5/2003,8515,926.25
5/6/2003,8570,934.75
5/7/2003,8548,929.5
5/8/2003,8478,920.5
5/9/2003,8578,932.25
5/12/2003,8695,944.25
5/13/2003,8667,942.75
5/14/2003,8648,940.25
5/15/2003,8697,946.25
5/16/2003,8675,944.25
5/19/2003,8490,922.5
5/20/2003,8483,919.25
5/21/2003,8495,922
5/22/2003,8577,930.75
5/23/2003,8592,932.25
5/27/2003,8757,949.5
5/28/2003,8772,952
5/29/2003,8713,949.25
5/30/2003,8852,963.25
6/2/2003,8903,968.25
6/3/2003,8927,972.25
6/4/2003,9035,986.25
6/5/2003,9040,990.75
6/6/2003,9055,987.75
6/9/2003,8992,977
6/10/2003,9067,986.75
6/11/2003,9177,997.25
6/12/2003,9212,1000.5
6/13/2003,9131,989.75
6/16/2003,9316,1010.5
6/17/2003,9317,1010.75
6/18/2003,9296,1009.5
6/19/2003,9182,995.25
6/20/2003,9155,1001.56
6/23/2003,9058,981
6/24/2003,9084,981.5
6/25/2003,8975,972
6/26/2003,9049,983.5
6/27/2003,8950,973.25
6/30/2003,8957,973.25
7/1/2003,9020,981.25
7/2/2003,9127,993
7/3/2003,9035,982.5
7/7/2003,9198,1002.5
7/8/2003,9207,1007.5
7/9/2003,9141,1001
7/10/2003,9015,988.75
7/11/2003,9097,997.25
7/14/2003,9145,1002.5
7/15/2003,9115,1001
7/16/2003,9088,995
7/17/2003,9033,980.75
7/18/2003,9155,990.5
7/21/2003,9083,978
7/22/2003,9135,986.75
7/23/2003,9175,987.5
7/24/2003,9088,980.25
7/25/2003,9254,996.75
7/28/2003,9232,994
7/29/2003,9188,989
7/30/2003,9178,986.5
7/31/2003,9207,989.25
8/1/2003,9140,979.5
8/4/2003,9154,980.25
8/5/2003,8973,959.5
8/6/2003,9032,965
8/7/2003,9120,974.5
8/8/2003,9182,978
8/11/2003,9204,981.25
8/12/2003,9288,990
8/13/2003,9270,984.75
8/14/2003,9283,987.75
8/15/2003,9312,990.5
8/18/2003,9402,998.75
8/19/2003,9422,1003
8/20/2003,9390,999
8/21/2003,9416,1002
8/22/2003,9343,992.5
8/25/2003,9320,993.75
8/26/2003,9331,995.5
8/27/2003,9323,995.75
8/28/2003,9365,1001.25
8/29/2003,9409,1007.75
9/2/2003,9521,1022
9/3/2003,9571,1027
9/4/2003,9589,1028.25
9/5/2003,9505,1022.25
9/8/2003,9579,1030.5
9/9/2003,9513,1024
9/10/2003,9434,1013.5
