Date,IEI,TLT
2016-12-30,122.095093,118.39396
2016-12-29,121.915702,118.215072
2016-12-28,121.626684,117.797668
2016-12-27,121.367562,116.942981
2016-12-23,121.527024,117.320638
2016-12-22,121.417396,117.082116
2016-12-21,121.43235,117.291819
2016-12-20,121.352701,116.776377
2016-12-19,121.452258,117.361204
2016-12-16,121.123719,116.112257
2016-12-15,120.984329,116.379892
2016-12-14,121.243185,115.795065
2016-12-13,121.950054,117.103483
2016-12-12,121.979921,116.68717
2016-12-09,121.960012,116.469099
2016-12-08,122.268644,117.936117
2016-12-07,122.457808,119.343657
2016-12-06,122.228819,118.332602
2016-12-05,122.129261,118.421816
2016-12-02,122.218868,118.550673
2016-12-01,121.850497,117.688311
2016-11-30,122.068525,118.944186
2016-11-29,122.446451,120.902851
2016-11-28,122.366887,120.398345
2016-11-25,122.118255,119.517937
2016-11-23,122.09836,119.339877
2016-11-22,122.466338,119.804813
2016-11-21,122.346992,119.844383
2016-11-18,122.327105,119.547613
2016-11-17,122.625467,119.893839
2016-11-16,122.874099,121.684338
2016-11-15,122.874099,120.596194
2016-11-14,122.933768,120.002655
2016-11-11,123.351469,120.724791
2016-11-10,123.560319,121.407357
2016-11-09,123.878568,123.227524
2016-11-08,124.723924,128.688032
2016-11-07,125.012331,129.212319
2016-11-04,125.33058,130.32026
2016-11-03,125.12173,129.16287
2016-11-02,125.101842,130.16198
2016-11-01,124.902932,129.598116
2016-10-31,124.798515,129.588231
2016-10-28,124.738902,128.798357
2016-10-27,124.619692,129.084693
2016-10-26,124.828318,130.506449
2016-10-25,124.947528,131.395063
2016-10-24,124.947528,131.049488
2016-10-21,125.05681,131.622146
2016-10-20,125.027007,131.424682
2016-10-19,125.126351,131.286455
2016-10-18,125.106486,131.177847
2016-10-17,124.957465,130.753283
2016-10-14,124.798515,129.923922
2016-10-13,124.927662,131.770256
2016-10-12,124.719037,131.276587
2016-10-11,124.699163,131.148228
2016-10-10,124.728973,131.444433
2016-10-07,124.917726,132.224424
2016-10-06,124.798515,132.135567
2016-10-05,125.027007,132.876071
2016-10-04,125.156162,133.498099
2016-10-03,125.434329,135.077833
2016-09-30,125.583349,135.525096
2016-09-29,125.752062,136.747203
2016-09-28,125.65282,136.402249
2016-09-27,125.742136,136.697921
2016-09-26,125.65282,135.702506
2016-09-23,125.444408,134.845069
2016-09-22,125.355085,134.973182
2016-09-21,125.255842,133.908769
2016-09-20,125.196298,132.834507
2016-09-19,125.136747,132.37129
2016-09-16,125.235997,132.804941
2016-09-15,125.245916,131.740528
2016-09-14,125.097056,132.312158
2016-09-13,124.918416,132.115048
2016-09-12,125.097056,133.632812
2016-09-09,124.997806,133.56383
2016-09-08,125.255842,135.801053
2016-09-07,125.583349,137.525793
2016-09-06,125.613121,137.624355
2016-09-02,125.196298,136.62894
2016-09-01,125.305467,137.752484
2016-08-31,125.153619,137.600699
2016-08-30,125.282506,137.403947
2016-08-29,125.292414,137.935194
2016-08-26,124.985084,136.115203
2016-08-25,125.341987,136.912059
2016-08-24,125.530354,137.433459
2016-08-23,125.530354,137.758107
2016-08-22,125.520438,137.610546
2016-08-19,125.341987,136.459531
2016-08-18,125.639408,137.177683
2016-08-17,125.470865,136.961251
2016-08-16,125.351903,136.144715
2016-08-15,125.530354,136.508707
2016-08-12,125.738546,137.807298
2016-08-11,125.431209,136.656283
2016-08-10,125.837684,137.886002
2016-08-09,125.659233,137.354755
2016-08-08,125.39156,136.016819
2016-08-05,125.451041,135.761043
2016-08-04,126.026051,137.187515
2016-08-03,125.8476,136.164395
2016-08-02,125.738546,136.085691
2016-08-01,125.867425,137.50233
2016-07-29,126.060743,139.00947
2016-07-28,125.743834,137.860552
2016-07-27,125.664604,138.115862
2016-07-26,125.3576,136.417036
2016-07-25,125.327891,136.200999
2016-07-22,125.456633,136.299203
2016-07-21,125.575477,136.063522
2016-07-20,125.3576,135.788568
2016-07-19,125.506153,136.534869
2016-07-18,125.327891,135.768924
2016-07-15,125.298175,135.896586
2016-07-14,125.535862,137.074963
2016-07-13,125.743834,139.097845
2016-07-12,125.62499,137.477579
2016-07-11,125.951805,139.775415
2016-07-08,126.387558,141.012723
2016-07-07,126.357841,139.981638
2016-07-06,126.387558,139.991452
2016-07-05,126.437071,139.765601
2016-07-01,126.179587,138.037316
2016-06-30,125.987461,136.146983
2016-06-29,125.84896,135.647097
2016-06-28,126.08639,136.695896
2016-06-27,126.076502,136.411636
2016-06-24,125.562062,133.088826
2016-06-23,124.622229,129.609185
2016-06-22,124.978378,131.108859
2016-06-21,124.829981,130.893218
2016-06-20,124.968483,131.50094
2016-06-17,125.314736,132.922198
2016-06-16,125.433455,133.755357
2016-06-15,125.473028,133.108434
2016-06-14,125.136662,132.598736
2016-06-13,125.156452,132.69676
2016-06-10,124.92891,132.108647
2016-06-09,124.681585,131.471536
2016-06-08,124.592551,130.62858
2016-06-07,124.572761,129.932646
2016-06-06,124.444154,129.618996
2016-06-03,124.592551,130.589365
2016-06-02,123.860463,128.756433
2016-06-01,123.672501,127.835062
2016-05-31,123.74175,127.318515
2016-05-27,123.623163,127.015285
2016-05-26,123.880096,127.201124
2016-05-25,123.55399,126.545753
2016-05-24,123.593519,127.025061
2016-05-23,123.76151,127.592401
2016-05-20,123.771394,127.308724
2016-05-19,123.662692,127.210916
2016-05-18,123.603403,126.663143
2016-05-17,124.166674,128.492315
2016-05-16,124.314904,128.277116
2016-05-13,124.561953,129.392229
2016-05-12,124.423606,128.14995
2016-05-11,124.571829,128.736857
2016-05-10,124.581714,128.013007
2016-05-09,124.601474,128.00323
2016-05-06,124.393954,127.602177
2016-05-05,124.542185,128.14995
2016-05-04,124.374194,127.298947
2016-05-03,124.235847,126.60444
2016-05-02,123.840567,125.029595
2016-04-29,124.010532,126.301221
2016-04-28,123.990793,125.979073
2016-04-27,123.753889,125.461686
2016-04-26,123.378782,124.221903
2016-04-25,123.487365,124.788103
2016-04-22,123.605821,125.30549
2016-04-21,123.635433,125.627639
2016-04-20,123.813113,126.37932
2016-04-19,124.089502,127.78504
2016-04-18,124.23757,128.185287
2016-04-15,124.296794,128.74173
2016-04-14,124.089502,127.648372
2016-04-13,124.23757,128.263385
2016-04-12,124.296794,127.814325
2016-04-11,124.563318,128.702674
2016-04-08,124.563318,128.868627
2016-04-07,124.652154,129.688649
2016-04-06,124.336279,128.107189
2016-04-05,124.444862,129.044351
2016-04-04,124.188212,127.648372
2016-04-01,124.089502,127.570274
