Date,WTI,Brent
1/4/2000,25.55,24.39
1/5/2000,24.91,23.73
1/6/2000,24.78,23.62
1/7/2000,24.22,23.09
1/10/2000,24.67,23.73
1/11/2000,25.77,24.62
1/12/2000,26.28,24.81
1/13/2000,26.69,24.98
1/14/2000,28.02,25.47
1/18/2000,28.85,26.05
1/19/2000,29.54,25.84
1/20/2000,29.66,26.1
1/21/2000,28.2,26.35
1/24/2000,27.83,26.06
1/25/2000,28.28,26.54
1/26/2000,27.84,26.13
1/27/2000,27.32,25.62
1/28/2000,27.22,25.68
1/31/2000,27.64,25.97
2/1/2000,28.22,26.39
2/2/2000,27.55,25.93
2/3/2000,28.03,26.66
2/4/2000,28.82,27.07
2/7/2000,28.45,26.88
2/8/2000,28.02,26.37
2/9/2000,28.77,26.92
2/10/2000,29.43,27.48
2/11/2000,29.44,27.82
2/14/2000,30.25,28.76
2/15/2000,30.06,27.13
2/16/2000,30.05,27.37
2/17/2000,29.46,26.67
2/18/2000,29.51,26.22
2/22/2000,29.62,26.58
2/23/2000,29.39,27.06
2/24/2000,29.97,27.37
2/25/2000,30.35,27.48
2/28/2000,30.13,27.41
2/29/2000,30.43,28.09
3/1/2000,31.77,29.06
3/2/2000,31.69,29.22
3/3/2000,31.51,28.99
3/6/2000,32.18,29.63
3/7/2000,34.13,31.9
3/8/2000,31.26,28.8
3/9/2000,31.69,29.29
3/10/2000,31.76,28.94
3/13/2000,32.02,28.89
3/14/2000,31.69,28.34
3/15/2000,30.72,27.53
3/16/2000,31.09,27.41
3/17/2000,30.91,26.56
3/20/2000,29.43,25.21
3/21/2000,28,25.72
3/22/2000,27.46,25.4
3/23/2000,27.31,25.48
3/24/2000,28.02,25.91
3/27/2000,27.79,25.68
3/28/2000,27.09,25.51
3/29/2000,26.45,24.4
3/30/2000,26.7,24.63
3/31/2000,26.9,24.77
4/3/2000,26.43,24.51
4/4/2000,25.45,23.65
4/5/2000,25.83,23.75
4/6/2000,25.69,23.45
4/7/2000,25.04,22.58
4/10/2000,23.85,21.3
4/11/2000,24.14,21.67
4/12/2000,25.41,23.12
4/13/2000,25.38,22.66
4/14/2000,25.57,22.41
4/17/2000,25.89,22.74
4/18/2000,26.11,23.05
4/19/2000,27.35,23.77
4/20/2000,25.88,23.83
4/24/2000,26.04,23.83
4/25/2000,25.33,23.33
4/26/2000,24.65,22.98
4/27/2000,25.42,23.76
4/28/2000,25.74,23.89
5/1/2000,25.87,23.89
5/2/2000,26.89,25.08
5/3/2000,26.75,25
5/4/2000,26.98,25.15
5/5/2000,27.29,25.29
5/8/2000,28.09,26.08
5/9/2000,28.65,26.82
5/10/2000,28.1,26.42
5/11/2000,29.11,27.45
5/12/2000,29.62,28.05
5/15/2000,29.92,28.33
5/16/2000,29.73,28.78
5/17/2000,29.32,27.89
5/18/2000,30.33,28.92
5/19/2000,29.89,28.59
5/22/2000,28.61,27.43
5/23/2000,28.78,27.5
5/24/2000,29.93,28.61
5/25/2000,30.51,29.19
5/26/2000,30,29.22
5/30/2000,30.35,28.96
5/31/2000,29.01,28.31
6/1/2000,30.14,29.19
6/2/2000,30.35,29.05
6/5/2000,29.7,28.37
6/6/2000,29.75,28.59
6/7/2000,29.95,29.22
6/8/2000,29.78,29.07
6/9/2000,30.2,29.58
6/12/2000,31.74,31.21
6/13/2000,32.56,31.49
6/14/2000,32.85,31.02
6/15/2000,32.95,31.26
6/16/2000,32.33,28.35
6/19/2000,31.69,27.98
6/20/2000,33.05,29.02
6/21/2000,31.37,29.33
6/22/2000,32.19,30.15
6/23/2000,32.25,30.39
6/26/2000,31.63,29.75
6/27/2000,32.06,30.24
6/28/2000,31.9,30.11
6/29/2000,32.72,30.8
6/30/2000,32.5,30.57
7/5/2000,30.67,29.38
7/6/2000,29.99,29.67
7/7/2000,30.28,29.7
7/10/2000,29.69,28.85
7/11/2000,29.7,29.22
7/12/2000,30.32,29.67
7/13/2000,31.47,30.26
7/14/2000,31.4,29.88
7/17/2000,30.83,28.56
7/18/2000,31.94,29.32
7/19/2000,31.42,28.88
7/20/2000,30.93,28.27
7/21/2000,28.56,27.52
7/24/2000,28.02,26.92
7/25/2000,27.95,26.94
7/26/2000,27.81,26.83
7/27/2000,28.02,27.15
7/28/2000,28.18,27.36
7/31/2000,27.43,26.93
8/1/2000,27.79,27.14
8/2/2000,28.26,27.59
8/3/2000,28.66,28.31
8/4/2000,29.96,29.37
8/7/2000,28.91,28.52
8/8/2000,29.12,28.9
8/9/2000,30.35,29.87
8/10/2000,31.34,30.88
8/11/2000,31.02,30.57
8/14/2000,31.94,31.48
8/15/2000,31.67,32.18
8/16/2000,31.8,32.53
8/17/2000,31.94,30.16
8/18/2000,31.99,30.44
8/21/2000,32.47,30.6
8/22/2000,31.22,29.93
8/23/2000,32.02,30.69
8/24/2000,31.63,30.35
8/25/2000,32.03,30.39
8/28/2000,32.87,30.39
8/29/2000,32.74,31.36
8/30/2000,33.32,31.98
8/31/2000,33.12,31.72
9/1/2000,33.38,31.85
9/5/2000,33.83,32.98
9/6/2000,34.9,34.28
9/7/2000,35.39,34.55
9/8/2000,33.63,32.78
9/11/2000,35.14,33.62
9/12/2000,34.28,32.48
9/13/2000,33.82,31.53
9/14/2000,34.07,31.94
9/15/2000,35.92,33.98
9/18/2000,36.88,34.46
9/19/2000,36.51,33.63
9/20/2000,37.2,33.74
9/21/2000,34,32.73
9/22/2000,32.68,31.25
9/25/2000,31.57,30.24
9/26/2000,31.5,30.42
9/27/2000,31.46,30.54
9/28/2000,30.34,29.26
9/29/2000,30.84,29.84
10/2/2000,32.18,31.08
10/3/2000,32.07,31.05
10/4/2000,31.43,30.52
10/5/2000,30.53,29.89
10/6/2000,30.86,30.1
10/9/2000,31.86,30.76
10/10/2000,33.18,31.85
10/11/2000,33.25,31.79
10/12/2000,36.06,34.59
10/13/2000,34.99,32.52
10/16/2000,32.92,31.9
10/17/2000,32.99,31.13
10/18/2000,33.48,31.1
10/19/2000,32.91,30.74
10/20/2000,33.75,31.62
10/23/2000,33.76,32.09
10/24/2000,33.37,31.59
10/25/2000,32.96,31.36
10/26/2000,33.71,31.96
10/27/2000,32.74,30.95
10/30/2000,32.81,31.14
10/31/2000,32.7,30.76
11/1/2000,33.25,31.31
11/2/2000,32.54,30.78
11/3/2000,32.71,30.85
11/6/2000,32.86,31.29
11/7/2000,33.4,31.68
11/8/2000,33.24,31.32
11/9/2000,33.92,32.16
11/10/2000,34.02,32.02
11/13/2000,34.47,32.94
11/14/2000,34.87,32.69
11/15/2000,35.58,33.9
11/16/2000,35.12,32.77
11/17/2000,35.45,33.08
11/20/2000,35.22,33.07
11/21/2000,35.16,33.1
11/22/2000,35.4,33.24
11/27/2000,35.38,33.06
11/28/2000,34.22,32.19
11/29/2000,34.63,32.68
11/30/2000,33.82,31.88
12/1/2000,32.02,30.17
12/4/2000,31.22,29.34
12/5/2000,29.53,27.79
12/6/2000,29.85,28.01
12/7/2000,29.35,27.47
12/8/2000,28.44,26.56
12/11/2000,29.5,27.54
12/12/2000,29.68,27.06
12/13/2000,28.74,25.14
12/14/2000,27.99,25.36
12/15/2000,28.87,25.89
12/18/2000,29.76,26.24
12/19/2000,29.33,25
12/20/2000,25.77,22.97
12/21/2000,25.98,23.61
12/22/2000,26.18,23.66
12/26/2000,26.64,23.66
12/27/2000,26.47,24.04
12/28/2000,25.85,23.71
12/29/2000,26.8,23.87
1/2/2001,27.21,24.3
1/3/2001,28,25.03
1/4/2001,28.14,25.35
1/5/2001,27.95,25.18
1/8/2001,27.32,24.43
1/9/2001,27.64,24.59
1/10/2001,29.48,25.34
1/11/2001,29.41,25.61
1/12/2001,30.05,25.75
1/16/2001,30.29,26.2
1/17/2001,29.6,24.79
1/18/2001,30.45,25.62
1/19/2001,32.19,27.04
1/22/2001,32.19,26.53
1/23/2001,29.57,26.67
1/24/2001,29.05,26.26
1/25/2001,29.36,26.46
1/26/2001,29.77,26.98
1/29/2001,29.06,26.6
1/30/2001,29.06,26.89
1/31/2001,28.66,26.66
2/1/2001,29.82,28.1
2/2/2001,31.19,29.19
2/5/2001,30.55,28.45
2/6/2001,30.35,28.7
2/7/2001,31.27,29.91
2/8/2001,31.59,29.84
2/9/2001,31.03,29.25
2/12/2001,30.51,29
2/13/2001,30.36,28.46
2/14/2001,29.71,27.28
2/15/2001,28.8,26.64
2/16/2001,29.16,26.89
2/20/2001,28.58,26.62
2/21/2001,28.53,26.37
2/22/2001,28.82,26.46
2/23/2001,29.04,26.52
2/26/2001,28.42,26.11
2/27/2001,28.13,26.02
2/28/2001,27.39,25.57
3/1/2001,27.62,25.85
